job_name,company_name,city,salary_min,salary_max,education,experience,skill_tags,publish_time
Python开发工程师,科大讯飞,深圳,10000,12000,硕士,不限,"HR,招聘,培训",2026-01-13
数据分析师,美团,苏州,11000,17000,硕士,5-10年,"测试,自动化测试,Jmeter",2026-01-18
运维工程师,腾讯科技,成都,7000,14000,不限,1年以内,"大数据,Hadoop,Spark",2026-03-05
Golang工程师,贝壳找房,西安,6000,13000,硕士,1年以内,"HR,招聘,培训",2026-04-06
UI设计师,科大讯飞,南京,10000,16000,硕士,1-3年,"Java,MySQL,Spring",2026-04-17
安卓开发,顺丰科技,成都,6000,8000,硕士,不限,"产品设计,Axure,需求分析",2026-03-04
Golang工程师,B站,苏州,8000,15000,本科,1-3年,"测试,自动化测试,Jmeter",2026-02-02
算法工程师,小米,广州,7000,16000,不限,1-3年,"HR,招聘,培训",2026-02-19
iOS开发,好未来,南京,9000,15000,本科,5-10年,"测试,自动化测试,Jmeter",2026-03-29
前端开发工程师,网易,北京,6000,9000,本科,1年以内,"Java,MySQL,Spring",2026-04-06
Golang工程师,B站,武汉,11000,16000,不限,3-5年,"产品设计,Axure,需求分析",2026-02-24
前端开发工程师,华为,深圳,12000,22000,大专,5-10年,"Python,机器学习,深度学习",2026-02-05
Java开发工程师,网易,武汉,11000,18000,不限,5-10年,"大数据,Hadoop,Spark",2026-04-05
大数据开发工程师,网易,成都,11000,20000,硕士,不限,"HR,招聘,培训",2026-03-10
市场营销,滴滴,苏州,15000,17000,不限,1年以内,"Python,机器学习,深度学习",2026-02-24
运维工程师,好未来,北京,8000,18000,硕士,1-3年,"HR,招聘,培训",2026-04-17
运维工程师,网易,深圳,15000,19000,硕士,3-5年,"大数据,Hadoop,Spark",2026-04-23
HRBP,京东,西安,9000,18000,大专,3-5年,"运维,Linux,Docker",2026-02-17
Golang工程师,小米,成都,11000,16000,本科,1-3年,"产品设计,Axure,需求分析",2026-03-05
后端开发工程师,阿里巴巴,武汉,15000,18000,大专,5-10年,"测试,自动化测试,Jmeter",2026-03-24
财务专员,京东,武汉,10000,19000,本科,1年以内,"测试,自动化测试,Jmeter",2026-04-11
软件测试,腾讯科技,广州,12000,15000,大专,1年以内,"HR,招聘,培训",2026-01-11
测试工程师,京东,武汉,9000,18000,大专,5-10年,"Vue,React,JavaScript",2026-01-25
Java开发工程师,华为,西安,7000,14000,大专,3-5年,"测试,自动化测试,Jmeter",2026-01-15
Java开发工程师,京东,北京,7000,15000,不限,3-5年,"测试,自动化测试,Jmeter",2026-01-19
市场营销,阿里巴巴,深圳,10000,13000,大专,3-5年,"Java,MySQL,Spring",2026-04-29
数据分析师,贝壳找房,深圳,12000,21000,大专,3-5年,"测试,自动化测试,Jmeter",2026-02-03
运营专员,阿里巴巴,广州,9000,13000,大专,3-5年,"HR,招聘,培训",2026-01-03
UI设计师,网易,北京,6000,14000,不限,1-3年,"大数据,Hadoop,Spark",2026-03-11
实习生,滴滴,广州,11000,17000,本科,3-5年,"Java,MySQL,Spring",2026-03-30
后端开发工程师,好未来,苏州,15000,23000,硕士,1-3年,"HR,招聘,培训",2026-03-09
软件测试,科大讯飞,西安,7000,13000,不限,1-3年,"大数据,Hadoop,Spark",2026-04-23
数据分析师,字节跳动,西安,8000,18000,不限,1年以内,"运维,Linux,Docker",2026-04-03
运营专员,百度,深圳,12000,18000,本科,不限,"产品设计,Axure,需求分析",2026-01-08
Java开发工程师,贝壳找房,成都,12000,16000,不限,5-10年,"测试,自动化测试,Jmeter",2026-03-27
Golang工程师,猿辅导,广州,7000,12000,大专,1-3年,"HR,招聘,培训",2026-04-02
Python开发工程师,华为,上海,11000,17000,大专,3-5年,"Java,MySQL,Spring",2026-01-10
HRBP,贝壳找房,南京,10000,15000,硕士,5-10年,"产品设计,Axure,需求分析",2026-03-10
测试工程师,携程,深圳,13000,18000,大专,5-10年,"产品设计,Axure,需求分析",2026-01-18
iOS开发,腾讯科技,广州,10000,15000,本科,1-3年,"测试,自动化测试,Jmeter",2026-05-01
后端开发工程师,科大讯飞,西安,9000,11000,大专,1-3年,"产品设计,Axure,需求分析",2026-03-21
Python开发工程师,网易,成都,6000,9000,大专,1年以内,"测试,自动化测试,Jmeter",2026-03-03
市场营销,小米,深圳,9000,19000,不限,3-5年,"HR,招聘,培训",2026-02-07
Golang工程师,阿里巴巴,上海,9000,14000,不限,1年以内,"运维,Linux,Docker",2026-02-06
运营专员,美团,深圳,15000,20000,大专,1年以内,"Java,MySQL,Spring",2026-02-03
UI设计师,华为,北京,14000,24000,大专,5-10年,"Java,MySQL,Spring",2026-04-27
市场营销,科大讯飞,上海,10000,13000,硕士,3-5年,"Vue,React,JavaScript",2026-01-12
UI设计师,猿辅导,武汉,10000,12000,大专,1年以内,"运维,Linux,Docker",2026-02-02
运维工程师,字节跳动,深圳,7000,17000,本科,1-3年,"测试,自动化测试,Jmeter",2026-02-21
Golang工程师,阿里巴巴,杭州,11000,14000,不限,1-3年,"产品设计,Axure,需求分析",2026-01-18
Java开发工程师,携程,广州,11000,19000,硕士,3-5年,"测试,自动化测试,Jmeter",2026-04-24
后端开发工程师,顺丰科技,南京,10000,16000,不限,不限,"大数据,Hadoop,Spark",2026-04-01
测试工程师,百度,上海,8000,17000,本科,1年以内,"Java,MySQL,Spring",2026-01-25
运维工程师,百度,西安,7000,11000,不限,1-3年,"Java,MySQL,Spring",2026-02-28
财务专员,拼多多,北京,6000,16000,大专,不限,"测试,自动化测试,Jmeter",2026-03-13
前端开发工程师,网易,南京,12000,17000,大专,1年以内,"产品设计,Axure,需求分析",2026-01-28
运营专员,字节跳动,南京,9000,15000,不限,1年以内,"大数据,Hadoop,Spark",2026-01-04
HRBP,携程,北京,14000,22000,大专,1年以内,"Python,机器学习,深度学习",2026-01-18
前端开发工程师,京东,广州,13000,17000,硕士,1年以内,"Python,机器学习,深度学习",2026-03-22
测试工程师,字节跳动,广州,8000,15000,不限,不限,"运维,Linux,Docker",2026-04-13
实习生,拼多多,南京,6000,14000,硕士,5-10年,"Python,机器学习,深度学习",2026-01-09
运维工程师,小米,南京,12000,21000,本科,不限,"测试,自动化测试,Jmeter",2026-04-02
运营专员,滴滴,成都,8000,14000,大专,1年以内,"运维,Linux,Docker",2026-03-07
安卓开发,网易,广州,10000,13000,不限,3-5年,"HR,招聘,培训",2026-02-03
测试工程师,好未来,北京,11000,17000,本科,1-3年,"Java,MySQL,Spring",2026-02-18
市场营销,商汤科技,北京,9000,17000,硕士,3-5年,"Python,机器学习,深度学习",2026-03-20
Python开发工程师,滴滴,成都,6000,16000,不限,1-3年,"大数据,Hadoop,Spark",2026-02-04
Golang工程师,网易,深圳,11000,16000,本科,1年以内,"Python,机器学习,深度学习",2026-01-19
算法工程师,科大讯飞,成都,9000,12000,不限,5-10年,"Java,MySQL,Spring",2026-02-05
HRBP,商汤科技,成都,15000,18000,硕士,不限,"测试,自动化测试,Jmeter",2026-03-27
安卓开发,滴滴,西安,8000,11000,本科,5-10年,"运维,Linux,Docker",2026-01-30
实习生,滴滴,武汉,9000,14000,本科,不限,"HR,招聘,培训",2026-04-18
安卓开发,华为,深圳,6000,16000,大专,3-5年,"Python,机器学习,深度学习",2026-04-30
Java开发工程师,滴滴,广州,10000,20000,硕士,1-3年,"HR,招聘,培训",2026-03-22
安卓开发,华为,南京,7000,16000,本科,不限,"产品设计,Axure,需求分析",2026-01-20
前端开发工程师,阿里巴巴,上海,7000,16000,大专,1-3年,"HR,招聘,培训",2026-01-25
产品经理,猿辅导,上海,8000,15000,不限,5-10年,"大数据,Hadoop,Spark",2026-03-13
Python开发工程师,贝壳找房,广州,7000,15000,不限,1年以内,"Java,MySQL,Spring",2026-04-09
数据分析师,网易,杭州,9000,18000,本科,5-10年,"HR,招聘,培训",2026-03-05
数据分析师,快手,杭州,8000,14000,硕士,5-10年,"HR,招聘,培训",2026-04-19
运营专员,快手,上海,9000,16000,大专,5-10年,"产品设计,Axure,需求分析",2026-02-21
数据分析师,快手,深圳,12000,17000,大专,不限,"运维,Linux,Docker",2026-04-07
市场营销,科大讯飞,苏州,13000,22000,本科,5-10年,"Vue,React,JavaScript",2026-01-26
运营专员,B站,北京,7000,15000,本科,5-10年,"HR,招聘,培训",2026-04-20
HRBP,京东,北京,9000,11000,本科,5-10年,"Python,机器学习,深度学习",2026-03-10
测试工程师,科大讯飞,南京,8000,11000,硕士,不限,"Python,机器学习,深度学习",2026-01-09
实习生,小米,杭州,13000,22000,大专,1年以内,"测试,自动化测试,Jmeter",2026-02-08
算法工程师,网易,武汉,15000,21000,大专,5-10年,"Java,MySQL,Spring",2026-01-30
测试工程师,顺丰科技,杭州,7000,12000,硕士,1-3年,"测试,自动化测试,Jmeter",2026-03-11
财务专员,阿里巴巴,苏州,14000,16000,不限,不限,"Vue,React,JavaScript",2026-04-22
iOS开发,字节跳动,武汉,14000,21000,大专,3-5年,"测试,自动化测试,Jmeter",2026-04-30
Java开发工程师,贝壳找房,上海,11000,14000,本科,1年以内,"产品设计,Axure,需求分析",2026-03-04
实习生,科大讯飞,武汉,12000,17000,硕士,1年以内,"HR,招聘,培训",2026-03-18
市场营销,百度,西安,7000,14000,不限,1-3年,"Python,机器学习,深度学习",2026-03-17
大数据开发工程师,阿里巴巴,深圳,13000,21000,不限,1-3年,"大数据,Hadoop,Spark",2026-02-24
财务专员,科大讯飞,深圳,9000,15000,大专,1-3年,"大数据,Hadoop,Spark",2026-03-29
大数据开发工程师,拼多多,上海,14000,23000,大专,5-10年,"Vue,React,JavaScript",2026-02-13
Python开发工程师,网易,上海,13000,16000,硕士,不限,"Python,机器学习,深度学习",2026-02-11
财务专员,猿辅导,北京,8000,16000,大专,1-3年,"Python,机器学习,深度学习",2026-03-13
产品经理,字节跳动,杭州,7000,15000,大专,3-5年,"运维,Linux,Docker",2026-02-23
运营专员,滴滴,杭州,11000,20000,硕士,3-5年,"Java,MySQL,Spring",2026-03-20
Python开发工程师,携程,西安,9000,14000,不限,1年以内,"大数据,Hadoop,Spark",2026-01-17
数据分析师,顺丰科技,广州,14000,23000,不限,5-10年,"Vue,React,JavaScript",2026-03-30
HRBP,字节跳动,苏州,14000,17000,硕士,1-3年,"Java,MySQL,Spring",2026-01-24
财务专员,滴滴,南京,12000,18000,大专,1年以内,"测试,自动化测试,Jmeter",2026-02-05
安卓开发,科大讯飞,成都,10000,16000,本科,1-3年,"HR,招聘,培训",2026-04-02
实习生,百度,成都,7000,15000,硕士,3-5年,"测试,自动化测试,Jmeter",2026-04-06
产品经理,好未来,成都,9000,11000,不限,1-3年,"Java,MySQL,Spring",2026-02-22
算法工程师,京东,苏州,8000,15000,本科,不限,"Vue,React,JavaScript",2026-04-06
算法工程师,贝壳找房,广州,6000,8000,硕士,1年以内,"Vue,React,JavaScript",2026-02-13
运维工程师,携程,武汉,11000,19000,硕士,1-3年,"Java,MySQL,Spring",2026-02-25
实习生,商汤科技,北京,15000,17000,不限,5-10年,"Java,MySQL,Spring",2026-04-30
算法工程师,阿里巴巴,成都,11000,17000,硕士,3-5年,"测试,自动化测试,Jmeter",2026-04-25
运营专员,小米,西安,15000,21000,本科,1-3年,"测试,自动化测试,Jmeter",2026-01-28
软件测试,B站,成都,11000,14000,大专,3-5年,"Java,MySQL,Spring",2026-01-24
运营专员,腾讯科技,北京,7000,9000,本科,5-10年,"大数据,Hadoop,Spark",2026-03-26
UI设计师,字节跳动,武汉,11000,14000,本科,不限,"测试,自动化测试,Jmeter",2026-02-17
Golang工程师,携程,杭州,8000,18000,大专,5-10年,"Java,MySQL,Spring",2026-03-26
Golang工程师,拼多多,北京,6000,14000,不限,3-5年,"Java,MySQL,Spring",2026-03-27
Java开发工程师,拼多多,北京,11000,19000,本科,3-5年,"大数据,Hadoop,Spark",2026-04-04
前端开发工程师,拼多多,成都,9000,17000,硕士,5-10年,"大数据,Hadoop,Spark",2026-04-28
Java开发工程师,字节跳动,南京,6000,11000,不限,1年以内,"大数据,Hadoop,Spark",2026-04-29
安卓开发,顺丰科技,成都,14000,19000,本科,不限,"Python,机器学习,深度学习",2026-01-01
财务专员,B站,南京,12000,17000,大专,5-10年,"产品设计,Axure,需求分析",2026-01-13
前端开发工程师,好未来,苏州,7000,16000,不限,不限,"运维,Linux,Docker",2026-04-25
数据分析师,顺丰科技,南京,12000,22000,硕士,1年以内,"HR,招聘,培训",2026-03-25
运营专员,华为,南京,11000,16000,大专,不限,"Vue,React,JavaScript",2026-04-03
UI设计师,顺丰科技,深圳,6000,11000,大专,3-5年,"Python,机器学习,深度学习",2026-02-09
产品经理,快手,北京,6000,10000,不限,不限,"产品设计,Axure,需求分析",2026-03-01
大数据开发工程师,快手,杭州,12000,18000,本科,1年以内,"产品设计,Axure,需求分析",2026-04-10
HRBP,贝壳找房,西安,7000,10000,本科,3-5年,"运维,Linux,Docker",2026-01-02
iOS开发,携程,南京,15000,20000,本科,5-10年,"运维,Linux,Docker",2026-04-27
Golang工程师,美团,苏州,11000,20000,大专,1-3年,"运维,Linux,Docker",2026-04-03
Python开发工程师,快手,西安,8000,12000,硕士,1-3年,"HR,招聘,培训",2026-04-06
Golang工程师,顺丰科技,西安,14000,16000,不限,1-3年,"HR,招聘,培训",2026-04-25
Java开发工程师,好未来,南京,15000,20000,硕士,3-5年,"产品设计,Axure,需求分析",2026-03-02
运维工程师,科大讯飞,西安,11000,20000,本科,1-3年,"Python,机器学习,深度学习",2026-03-07
软件测试,字节跳动,成都,13000,15000,不限,1-3年,"测试,自动化测试,Jmeter",2026-03-06
Golang工程师,商汤科技,西安,10000,12000,硕士,5-10年,"Vue,React,JavaScript",2026-03-13
数据分析师,顺丰科技,杭州,12000,16000,大专,1年以内,"测试,自动化测试,Jmeter",2026-02-22
HRBP,商汤科技,南京,11000,16000,大专,1-3年,"测试,自动化测试,Jmeter",2026-02-15
运维工程师,好未来,杭州,10000,15000,硕士,3-5年,"运维,Linux,Docker",2026-04-18
安卓开发,京东,西安,7000,15000,大专,1-3年,"Python,机器学习,深度学习",2026-03-24
算法工程师,猿辅导,广州,13000,16000,硕士,不限,"HR,招聘,培训",2026-01-14
市场营销,B站,北京,9000,15000,不限,5-10年,"Vue,React,JavaScript",2026-04-23
算法工程师,华为,成都,7000,13000,硕士,1-3年,"Vue,React,JavaScript",2026-01-26
实习生,滴滴,武汉,11000,18000,硕士,3-5年,"Vue,React,JavaScript",2026-03-10
前端开发工程师,字节跳动,武汉,13000,23000,不限,5-10年,"运维,Linux,Docker",2026-02-14
实习生,网易,成都,9000,17000,不限,1-3年,"HR,招聘,培训",2026-04-07
算法工程师,滴滴,武汉,8000,14000,大专,不限,"产品设计,Axure,需求分析",2026-04-09
Java开发工程师,字节跳动,武汉,12000,22000,大专,3-5年,"Java,MySQL,Spring",2026-04-28
Java开发工程师,百度,广州,12000,21000,硕士,不限,"运维,Linux,Docker",2026-03-05
UI设计师,腾讯科技,深圳,8000,10000,大专,不限,"Vue,React,JavaScript",2026-02-12
iOS开发,猿辅导,成都,7000,17000,硕士,不限,"Java,MySQL,Spring",2026-03-28
实习生,好未来,广州,11000,20000,大专,5-10年,"运维,Linux,Docker",2026-01-17
Python开发工程师,百度,成都,15000,22000,不限,1-3年,"Vue,React,JavaScript",2026-04-22
前端开发工程师,携程,西安,14000,23000,本科,3-5年,"产品设计,Axure,需求分析",2026-03-15
大数据开发工程师,网易,深圳,6000,15000,大专,不限,"Python,机器学习,深度学习",2026-03-30
UI设计师,阿里巴巴,西安,11000,16000,本科,不限,"产品设计,Axure,需求分析",2026-01-18
产品经理,快手,成都,7000,10000,不限,5-10年,"Java,MySQL,Spring",2026-02-07
大数据开发工程师,猿辅导,杭州,15000,19000,不限,5-10年,"Vue,React,JavaScript",2026-02-11
算法工程师,网易,上海,9000,19000,硕士,1年以内,"大数据,Hadoop,Spark",2026-01-20
后端开发工程师,百度,武汉,6000,10000,不限,1年以内,"大数据,Hadoop,Spark",2026-01-10
UI设计师,科大讯飞,北京,15000,20000,大专,3-5年,"运维,Linux,Docker",2026-03-01
Java开发工程师,美团,上海,9000,19000,不限,不限,"Vue,React,JavaScript",2026-01-29
市场营销,快手,成都,13000,17000,大专,3-5年,"Vue,React,JavaScript",2026-04-24
运维工程师,贝壳找房,南京,12000,15000,本科,不限,"产品设计,Axure,需求分析",2026-01-11
Java开发工程师,快手,北京,13000,15000,本科,5-10年,"产品设计,Axure,需求分析",2026-03-01
HRBP,美团,成都,9000,19000,本科,5-10年,"Python,机器学习,深度学习",2026-01-03
iOS开发,美团,广州,10000,14000,硕士,5-10年,"Python,机器学习,深度学习",2026-01-13
运维工程师,B站,南京,6000,12000,硕士,1年以内,"Python,机器学习,深度学习",2026-04-08
算法工程师,拼多多,广州,9000,15000,本科,1-3年,"测试,自动化测试,Jmeter",2026-01-30
Java开发工程师,小米,南京,7000,9000,大专,1-3年,"产品设计,Axure,需求分析",2026-02-10
Java开发工程师,快手,西安,7000,10000,大专,1年以内,"大数据,Hadoop,Spark",2026-03-24
产品经理,小米,武汉,9000,12000,不限,不限,"Java,MySQL,Spring",2026-04-03
运维工程师,顺丰科技,广州,7000,12000,大专,5-10年,"运维,Linux,Docker",2026-03-14
后端开发工程师,字节跳动,杭州,15000,25000,不限,3-5年,"大数据,Hadoop,Spark",2026-04-17
市场营销,美团,深圳,14000,19000,大专,5-10年,"产品设计,Axure,需求分析",2026-01-04
UI设计师,美团,上海,13000,19000,硕士,1年以内,"产品设计,Axure,需求分析",2026-03-07
数据分析师,滴滴,上海,9000,16000,本科,3-5年,"产品设计,Axure,需求分析",2026-04-01
后端开发工程师,腾讯科技,西安,8000,14000,不限,3-5年,"测试,自动化测试,Jmeter",2026-04-03
前端开发工程师,腾讯科技,西安,10000,20000,本科,不限,"运维,Linux,Docker",2026-01-19
财务专员,B站,西安,13000,22000,不限,1-3年,"HR,招聘,培训",2026-03-17
iOS开发,网易,杭州,6000,15000,硕士,1-3年,"大数据,Hadoop,Spark",2026-01-27
运维工程师,科大讯飞,北京,6000,8000,本科,1-3年,"Vue,React,JavaScript",2026-03-05
测试工程师,字节跳动,武汉,11000,20000,本科,5-10年,"Vue,React,JavaScript",2026-03-16
HRBP,腾讯科技,西安,8000,13000,不限,1年以内,"Java,MySQL,Spring",2026-02-18
软件测试,商汤科技,广州,14000,16000,硕士,不限,"HR,招聘,培训",2026-04-14
后端开发工程师,猿辅导,西安,6000,15000,硕士,不限,"HR,招聘,培训",2026-04-23
大数据开发工程师,百度,上海,8000,15000,硕士,5-10年,"大数据,Hadoop,Spark",2026-04-16
Java开发工程师,贝壳找房,南京,15000,25000,硕士,1年以内,"产品设计,Axure,需求分析",2026-03-16
运营专员,顺丰科技,苏州,8000,11000,不限,5-10年,"运维,Linux,Docker",2026-01-08
iOS开发,快手,西安,8000,16000,不限,3-5年,"运维,Linux,Docker",2026-02-24
后端开发工程师,网易,苏州,8000,16000,不限,3-5年,"测试,自动化测试,Jmeter",2026-01-13
大数据开发工程师,美团,杭州,9000,17000,不限,3-5年,"测试,自动化测试,Jmeter",2026-01-10
iOS开发,字节跳动,成都,12000,22000,大专,3-5年,"HR,招聘,培训",2026-04-03
iOS开发,贝壳找房,深圳,6000,9000,不限,1年以内,"Python,机器学习,深度学习",2026-03-26
产品经理,阿里巴巴,杭州,12000,15000,本科,1-3年,"HR,招聘,培训",2026-04-26
Golang工程师,商汤科技,广州,12000,18000,大专,1年以内,"测试,自动化测试,Jmeter",2026-03-04
产品经理,商汤科技,成都,8000,18000,大专,3-5年,"测试,自动化测试,Jmeter",2026-02-28
测试工程师,滴滴,西安,14000,22000,不限,3-5年,"HR,招聘,培训",2026-03-23
财务专员,快手,南京,15000,17000,硕士,1-3年,"运维,Linux,Docker",2026-01-13
产品经理,顺丰科技,成都,6000,10000,本科,不限,"Python,机器学习,深度学习",2026-01-06
产品经理,华为,苏州,8000,17000,本科,5-10年,"运维,Linux,Docker",2026-02-22
后端开发工程师,好未来,杭州,7000,17000,不限,3-5年,"Vue,React,JavaScript",2026-01-26
市场营销,小米,苏州,10000,13000,硕士,1年以内,"HR,招聘,培训",2026-01-06
数据分析师,华为,广州,8000,18000,硕士,不限,"运维,Linux,Docker",2026-02-11
Golang工程师,B站,上海,7000,13000,大专,不限,"Java,MySQL,Spring",2026-04-08
数据分析师,科大讯飞,武汉,15000,24000,不限,5-10年,"Python,机器学习,深度学习",2026-01-28
市场营销,快手,广州,15000,25000,大专,5-10年,"Python,机器学习,深度学习",2026-03-21
Python开发工程师,小米,上海,8000,17000,大专,1年以内,"Java,MySQL,Spring",2026-01-25
Golang工程师,B站,苏州,7000,13000,不限,3-5年,"大数据,Hadoop,Spark",2026-02-28
算法工程师,拼多多,南京,15000,21000,大专,不限,"测试,自动化测试,Jmeter",2026-04-12
产品经理,小米,南京,12000,22000,本科,1-3年,"HR,招聘,培训",2026-01-29
后端开发工程师,B站,西安,9000,15000,硕士,1-3年,"大数据,Hadoop,Spark",2026-03-09
iOS开发,拼多多,杭州,8000,13000,本科,不限,"运维,Linux,Docker",2026-02-28
后端开发工程师,好未来,南京,12000,19000,本科,5-10年,"HR,招聘,培训",2026-01-14
前端开发工程师,小米,南京,13000,20000,大专,3-5年,"运维,Linux,Docker",2026-04-08
iOS开发,顺丰科技,杭州,10000,14000,硕士,1年以内,"运维,Linux,Docker",2026-01-05
前端开发工程师,快手,西安,13000,15000,本科,3-5年,"运维,Linux,Docker",2026-01-30
安卓开发,贝壳找房,上海,13000,16000,硕士,不限,"HR,招聘,培训",2026-02-13
Java开发工程师,京东,上海,13000,16000,大专,不限,"Vue,React,JavaScript",2026-03-14
安卓开发,字节跳动,成都,13000,15000,不限,3-5年,"大数据,Hadoop,Spark",2026-01-19
后端开发工程师,猿辅导,成都,11000,15000,不限,3-5年,"Python,机器学习,深度学习",2026-02-23
安卓开发,京东,成都,6000,10000,硕士,不限,"Python,机器学习,深度学习",2026-03-25
UI设计师,B站,武汉,13000,20000,硕士,1-3年,"Python,机器学习,深度学习",2026-02-15
前端开发工程师,B站,成都,11000,15000,本科,5-10年,"Vue,React,JavaScript",2026-03-14
实习生,网易,北京,7000,16000,大专,1年以内,"大数据,Hadoop,Spark",2026-02-15
市场营销,滴滴,苏州,8000,18000,不限,1-3年,"大数据,Hadoop,Spark",2026-04-10
数据分析师,百度,成都,13000,19000,本科,不限,"运维,Linux,Docker",2026-02-04
财务专员,科大讯飞,苏州,9000,11000,不限,1-3年,"Python,机器学习,深度学习",2026-01-13
数据分析师,携程,深圳,8000,14000,大专,5-10年,"大数据,Hadoop,Spark",2026-01-19
大数据开发工程师,网易,苏州,15000,23000,硕士,5-10年,"测试,自动化测试,Jmeter",2026-01-30
Golang工程师,小米,北京,15000,19000,本科,不限,"运维,Linux,Docker",2026-01-07
运维工程师,B站,深圳,13000,22000,不限,1-3年,"产品设计,Axure,需求分析",2026-02-08
大数据开发工程师,拼多多,杭州,9000,12000,不限,1-3年,"运维,Linux,Docker",2026-02-04
运营专员,阿里巴巴,北京,8000,15000,大专,3-5年,"测试,自动化测试,Jmeter",2026-01-19
产品经理,网易,南京,13000,18000,硕士,不限,"大数据,Hadoop,Spark",2026-04-20
前端开发工程师,华为,武汉,12000,22000,本科,不限,"Java,MySQL,Spring",2026-02-10
HRBP,猿辅导,北京,9000,13000,本科,1年以内,"Vue,React,JavaScript",2026-02-26
运维工程师,猿辅导,西安,6000,12000,不限,3-5年,"产品设计,Axure,需求分析",2026-04-05
软件测试,贝壳找房,上海,10000,18000,不限,1-3年,"大数据,Hadoop,Spark",2026-01-24
前端开发工程师,携程,深圳,10000,13000,硕士,1年以内,"测试,自动化测试,Jmeter",2026-01-28
运营专员,美团,成都,12000,22000,本科,1年以内,"Java,MySQL,Spring",2026-03-02
市场营销,小米,苏州,13000,16000,不限,3-5年,"Java,MySQL,Spring",2026-02-19
HRBP,顺丰科技,武汉,11000,16000,大专,1-3年,"大数据,Hadoop,Spark",2026-02-16
Java开发工程师,百度,西安,7000,13000,大专,3-5年,"Java,MySQL,Spring",2026-02-03
算法工程师,京东,南京,15000,21000,不限,5-10年,"HR,招聘,培训",2026-04-26
Golang工程师,顺丰科技,广州,12000,15000,硕士,不限,"产品设计,Axure,需求分析",2026-01-02
